LIEN	COTE	DATE	MOTMATIERE	CHAPITRE	CREATEUR	LIEU	DEPARTEMENT	DIM	TITRE	BIBLIO	COLLECTION	UID	latitude	longitude
http://sallevirtuelle.cotesdarmor.fr/CP/cpx/cp/Cartes_postales/AD22_16_Fi_0102_0003.jpg	16_Fi 102	s.d. [1914]	/PAYSAGE/BARRAGE/CHUTE D'EAU/	OUVRAGE D'ART	EDITEUR : WARON A.	Allineuc	Côtes-d'Armor	9 X 14	La Bretagne pittoresque. Chute d'eau du barrage de Bosméléac (C.du.N). (alimentant le canal de Nantes à Brest).	La Bretagne pittoresque. Chute d'eau du barrage de Bosméléac (C.du.N). (alimentant le canal de Nantes à Brest). Ed. : A. Waron. Carte postale. - Saint-Brieuc, s.d. [ca 1914], dim. : 9 x 14, noir et blanc.	Cartes postales	0e1c2745-1400-4e1b-baff-dbc51d37a842	48.3147732	-2.9043171
http://sallevirtuelle.cotesdarmor.fr/CP/cpx/cp/Cartes_postales/AD22_16_Fi_0111_0012.jpg	16_Fi 111	s.d. [1908-1920]	/HOPITAL PSYCHIATRIQUE/VUE D'ARCHITECTURE/BATIMENT/SERRE/BUANDERIE/	COMMUNAUTE RELIGIEUSE/ HOPITAL	PHOTOGRAPHE : LE GUYADER F.	Bégard	Côtes-d'Armor	9 X 14	Bégard - Le Bon-Sauveur. Les Serres. Sainte Philomène et la Buanderie.	Bégard - Le Bon-Sauveur. Les Serres. Sainte Philomène et la Buanderie. Photographe : F. Le Guyader. Carte postale. - Bégard, s.d. [ca 1908-1920], dim. : 9 x 14, noir et blanc.	Cartes postales	03c2f756-eebf-4d63-8f65-0e54e6a2e32e	48.630456	-3.300603
http://sallevirtuelle.cotesdarmor.fr/CP/cpx/cp/Cartes_postales/AD22_16_Fi_0121_0022.jpg	16_Fi 121	s.d. [1931]	/HOPITAL PSYCHIATRIQUE/VUE D'INTERIEUR/REFECTOIRE/SCENE/RELIGIEUSE/VAISSELLE/COUVERT/	COMMUNAUTE RELIGIEUSE/ HOPITAL	PHOTOGRAPHE : BINET	Bégard	Côtes-d'Armor	9 X 14	Le Bon Sauveur. Bégard (C. du N.). Un réfectoire de l'asile.	Le Bon Sauveur. Bégard (C. du N.). Un réfectoire de l'asile. Photographe : R. Binet. Carte postale. - Saint-Brieuc, s.d. [ca 1931], dim. : 9 x 14, noir et blanc.	Cartes postales	0862971d-264d-471f-a870-cfd90dfe4749	48.630456	-3.300603
http://sallevirtuelle.cotesdarmor.fr/CP/cpx/cp/Cartes_postales/AD22_16_Fi_0132_0033.jpg	16_Fi 132	s.d. [1931]	/HOPITAL PSYCHIATRIQUE/VUE D'ARCHITECTURE/PORCHERIE/BASSE-COUR/	COMMUNAUTE RELIGIEUSE/ HOPITAL	PHOTOGRAPHE : BINET	Bégard	Côtes-d'Armor	9 X 14	Le Bon Sauveur. Bégard (C. du N.). Porcherie et basse-cour.	Le Bon Sauveur. Bégard (C. du N.). Porcherie et basse-cour. Photographe : R. Binet. Carte postale. - Saint-Brieuc, s.d. [ca 1931], dim. : 9 x 14, noir et blanc.	Cartes postales	0ec868cd-c46e-44b8-a7f9-e083373faea7	48.630456	-3.300603
http://sallevirtuelle.cotesdarmor.fr/CP/cpx/cp/Cartes_postales/AD22_16_Fi_0149_0050.jpg	16_Fi 149	s.d. [1931]	/VUE D'INTERIEUR/CLOITRE/RELIGIEUSE/HOPITAL PSYCHIATRIQUE/	COMMUNAUTE RELIGIEUSE/ HOPITAL	PHOTOGRAPHE : BINET	Bégard	Côtes-d'Armor	9 X 14	Le Bon Sauveur. Bégard (C. du N.). Le cloître Saint-Michel.	Le Bon Sauveur. Bégard (C. du N.). Le cloître Saint-Michel. Photographe : R. Binet. Carte postale. - Saint-Brieuc, s.d. [ca 1931], dim. : 9 x 14, noir et blanc.	Cartes postales	03710e6c-6629-4359-93ad-216c8b81b0a0	48.630456	-3.300603
http://sallevirtuelle.cotesdarmor.fr/CP/cpx/cp/Cartes_postales/AD22_16_Fi_0155_0056.jpg	16_Fi 155	s.d. [1931]	/HOPITAL PSYCHIATRIQUE/CHAPELLE/VUE D'INTERIEUR/TRIBUNE/	COMMUNAUTE RELIGIEUSE/ HOPITAL	PHOTOGRAPHE : BINET	Bégard	Côtes-d'Armor	9 X 14	Le Bon Sauveur. Bégard (C. du N.). Chapelle et tribune des pensionnaires.	Le Bon Sauveur. Bégard (C. du N.). Chapelle et tribune des pensionnaires. Photographe : R. Binet. Carte postale. - Saint-Brieuc, s.d. [ca 1931], dim. : 9 x 14, noir et blanc.	Cartes postales	12bf3b6a-7644-429f-bd8a-3ccb5f612407	48.630456	-3.300603
http://sallevirtuelle.cotesdarmor.fr/CP/cpx/cp/Cartes_postales/AD22_16_Fi_0173_0074.jpg	16_Fi 173	s.d. [1931]	/CONGREGATION RELIGIEUSE/BATIMENT/VUE D'ARCHITECTURE/	COMMUNAUTE RELIGIEUSE/ HOPITAL	PHOTOGRAPHE : BINET	Trégastel	Côtes-d'Armor	9 X 14	Le Bon Sauveur. Bégard (C. du N.). Trégastel. Maison blanche.	Le Bon Sauveur. Bégard (C. du N.). Trégastel. Maison blanche. Photographe : R. Binet. Carte postale. - Saint-Brieuc, s.d. [1931], dim. : 9 x 14, noir et blanc.	Cartes postales	1df10ad4-bb02-44c9-b4a1-3387daaf1e10	48.816988	-3.513349
http://sallevirtuelle.cotesdarmor.fr/CP/cpx/cp/Cartes_postales/AD22_16_Fi_0176_0077.jpg	16_Fi 176	s.d. [1929-1937]	/HOPITAL PSYCHIATRIQUE/CHAPELLE/VUE D'INTERIEUR/VUE D'ARCHITECTURE/	COMMUNAUTE RELIGIEUSE/ HOPITAL	COLLECTION : LE GUYADER F./PHOTOGRAPHE : PHOTO-MODERNE	Bégard	Côtes-d'Armor	9 X 14	Bégard - Le Bon Sauveur. Intérieur de l'église - Vue prise de l'autel.	Bégard -  Le Bon Sauveur. Intérieur de l'église - Vue prise de l'autel. Collection F. Le Guyader, Photo-Moderne. Carte postale. - Bégard, s.d. [ca 1929-1937], dim. : 9 x 14, noir et blanc.	Cartes postales	185ebe41-0a36-48f1-92b5-c4ee30b1bf2e	48.630456	-3.300603
http://sallevirtuelle.cotesdarmor.fr/CP/cpx/cp/Cartes_postales/AD22_16_Fi_0177_0078.jpg	16_Fi 177	s.d. [1929-1937]	/VUE D'ARCHITECTURE/RUE/CLOCHER/FEMME/PORTAGE/BASSINE/ENFANT/	ARCHITECTURE URBAINE	EDITEUR : HAMONIC E.	Bégard	Côtes-d'Armor	9 X 14	Bégard - Rue de l'église.	Bégard - Rue de l'église. Photographe : E. Hamonic. Carte postale. - Saint-Brieuc, s.d. [ca 1929-1937], dim. : 9 x 14, sépia	Cartes postales	0b6c663c-b59e-4c36-b199-001896b09b5b	48.630456	-3.300603
http://sallevirtuelle.cotesdarmor.fr/CP/cpx/cp/Cartes_postales/AD22_16_Fi_0183_0084.jpg	16_Fi 183	s.d. [1904-1908]	/VUE D'ARCHITECTURE/RUE/PERSONNAGE/	ARCHITECTURE URBAINE	PHOTOGRAPHE : A.B. ET CIE/COLLECTION : LE GRAND C.	Belle-Isle-en-Terre	Côtes-d'Armor	9 X 14	Belle-Isle-en-Terre. - Rue du Pont Cunuder.	Belle-Isle-en-Terre. - Rue du Pont Cunuder. Photographe : A.B & Cie. Carte postale. - Callac, collection : C. Le Grand, s.d. [1904-1908], dim. : 9 x 14, noir et blanc.	Cartes postales	130c1ba5-7dcd-411b-bde8-f0508eb50844	48.5380404	-3.4493771
