COTE	DATE	LIEU	DEPARTEMENT	DIM	TITRE	latitude	longitude	DESCRIPTION	PHOTOGRAPHE	COLLECTION	UID
43 FI 49	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	1141d3e8-ec88-4f43-9b81-3dbf4ac5edcc
43 FI 48	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Vue générale du Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	14758b3b-1db4-4c98-b55c-8d7c54511ff9
43 FI 52	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	183a222f-e58a-4d72-8df0-87395a72fa8e
43 FI 62	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Rivière de l'Arguenon, vue prise du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	19cdf266-f754-42cb-9a76-5d6a1f005815
43 FI 139	s.d. [fin XIXe-1920]	Arguenon (L')	_	12 X 9	Vue générale de l'Arguenon et de l'église Saint-Sauveur.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	1b93523d-c605-4c90-b302-7b926d5926d4
43 FI 8	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	2ca886d6-00c0-4fac-9a2e-6721dc029089
43 FI 56	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	33b726cf-11de-41fe-873a-cf197cf83199
43 FI 47	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Vue générale du château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	3e499339-4cfe-45f2-b013-e58b74b1be48
43 FI 50	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	491f0343-6d74-4f55-a7f4-4b3690a9d65d
43 FI 46	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vue générale du château du Guido.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	4c89d65e-79d7-41f2-b67c-e2a793a2abf9
43 FI 59	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	4d92655b-9bb1-4859-906d-f5684b7e805e
43 FI 42	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Pêcheuse sur les rives de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	5688143a-7357-4f85-ac67-140acd1460e3
43 FI 41	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vieux pont du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	56ea37b0-ee9b-4ad0-82d4-e2bdfb01cac4
43 FI 7	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	5b650e05-3d5b-4542-91bc-fdb16c69e3bb
43 FI 53	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	65e07a06-821c-44ca-97d0-95fe999701f3
43 FI 43	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Le Russie-Din sur les rives de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	702b56da-b8ba-41de-9eae-83d62d969fc3
43 FI 259	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Les pierres sonnantes.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	72d79bc1-4d38-44c0-bdb0-c7032ae43775
43 FI 4	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	767f5381-85d5-49be-9376-983e1881f8cf
43 FI 45	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Rives de l'Arguenon et château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	7e14f4c0-33cd-4506-a003-a9cb8c9fc4bc
43 FI 10	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	81638463-3a93-43ea-8965-e939b8de8391
43 FI 1	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	882a5aa9-8de3-4ea9-b07d-7b0aa84dc1b1
43 FI 3	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	aa54f077-fcf1-44b4-ba85-561ff368b065
43 FI 58	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	ab01a7ed-e4d2-42c1-8b10-e941bf9b52a6
43 FI 261	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Les pierres sonnantes.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	b0636533-ae16-47f2-9cf7-264be0f12532
43 FI 2	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	be12423d-1f18-4b15-8dbc-85c05892bf7e
43 FI 9	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	cbdb7d20-f888-4339-8ce7-a3ed0f30978b
43 FI 6	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	cca2ff44-4a36-4586-b95c-997ad0d5b11d
43 FI 57	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	d50185d0-ba98-46f3-a3d9-d6c0abeb83d4
43 FI 54	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	de56576a-6232-48be-970a-1d399275fbaa
43 FI 260	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Les pierres sonnantes.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	e4ca3636-cd5d-444f-900e-73d5f7a06515
43 FI 44	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Départ du Russie-Din.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	e826ac43-9d74-4de3-9d16-34529a8a079c
43 FI 5	s.d. [fin XIXe-1920]	Arguenon (L')	_	13 X 18	Vallée de l'Arguenon.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	ecc31a5d-7b3e-4a8e-bdaf-bc16dd4d81a0
43 FI 55	s.d. [fin XIXe-1920]	Arguenon (L')	_	9 X 12	Château du Guildo.	48.4368222	-2.3716759		DuCleuziou	Collection photographique Du Cleuziou	ff63191b-b937-4d5d-b85e-288f342077b7
43 FI 525	s.d. [fin XIXe-1920]	Auray	Morbihan	12 X 9	Saint-Goustan.				DuCleuziou	Collection photographique Du Cleuziou	32d3a85b-8903-46d1-99af-a2c45bc42e57
43 FI 524	s.d. [fin XIXe-1920]	Auray	Morbihan	12 X 9	Rue (quartier de l'église Saint-Gildas).				DuCleuziou	Collection photographique Du Cleuziou	fcac25b9-ad6e-4d39-bc49-030df1075f77
19 FI 1	s.d. [1906-1936]	Bégard	_	9 X 14	Rue de l'hôtel de ville.	48.633333	-3.3		Lacombe	Collection photographique Lacombe	2aa37774-a5e9-4bcb-bbf2-9ec13feeaefa
19 FI 5	s.d. [1906-1936]	Bégard	_	9 X 14	Maison des associations, autrefois école communale des garçons.	48.633333	-3.3		Lacombe	Collection photographique Lacombe	308cc241-72ab-4152-aaf7-dd042c384e76
19 FI 10	s.d. [1906-1936]	Bégard	_	9 X 14	Place du centre. Eglise Notre-Dame de Bégard.	48.633333	-3.3		Lacombe	Collection photographique Lacombe	42a1b79f-3d24-466e-9972-4f1e2baa214b
