num	cote	titre	commune	latitude	longitude	num_plan	physdesc	dimensions	description1	date	date_standard	echelle	description2	wikidata	merimee	commons	wikipedia	BNF	
1649	CP/F/19/7787	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 1	Papier ; encre noire et rouge, lavis, crayon	38,2 cm x 52 cm	"Cathédrale de Nîmes. Projet pour améliorer la disposition du chœur : coupe de la partie de l'édifice où seroient faits les réparations". Par Gaston Bourdon, architecte du département du Gard.	Sans date	1899-10-25	2 cm / 1 m	1 coupe ; signé ; approbation de l'évêque ; légende ; timbre humide de la Commission des arts et édifices religieux (10 juillet 1851) ; n° d'enregistrement : 11284.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1650	CP/F/19/7787	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 2	Papier ; encre noire et rouge, lavis	95 cm x 61 cm	"Département du Gard. Édifices diocésains. Cathédrale de Nîmes : plan de la cathédrale". Par Gaston Bourdon, architecte du département du Gard.	[1840]	1840-01-01 / 1840-12-31	2 cm / 1 m	1 plan ; signé ; approbation de l'évêque ; timbre humide de la Commission des arts et édifices religieux (10 juillet 1851) ; n° d'enregistrement : 11284.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1651	CP/F/19/7787	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 3	Papier ; aquarelle, encre noire, lavis	37 cm x 23 cm	"Cathédrale de Nîmes" : dessin joint au rapport établi par l'architecte diocésain en date du 25 juillet 1849.	[25 juillet 1849]	1849-07-25	2 cm / 1 m	1 élévation.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1652	CP/F/19/7787	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 4	Papier ; aquarelle, encre noire et rouge, lavis	24 cm x 36,7 cm	"Dessin 3e" : coupe longitudinale, plan du chœur : état actuel et avec modifications. Par Eugène Jean-Baptiste Gabriel Laval, architecte diocésain.	25/07/1849	1849-07-25	0,5 cm / 1 m (coupes) ; 0,25 cm / 1 m (plans)	2 coupes, 2 plans ; signé.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1653	CP/F/19/7787	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 5	Papier ; encre noire, lavis	34 cm x 46 cm	Coupe longitudinale du chœur.	[1851]	1851-01-01 / 1851-12-31	0,5 cm / 1 m (coupes) ; 0,25 cm / 1 m (plans)	1 coupe ; timbre humide de la Commission des arts et édifices religieux, section architecture (10 juillet 1851).		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1654	CP/F/19/7787	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 6	Papier ; encre noire et rouge, lavis, aquarelle, crayon	34 cm x 26 cm	"Plan général de la cathédrale, de l'évêché et de leurs abords : n°1. Nîmes".	Sans date	1851-01-01 / 1851-12-31	0,2 cm / 1 m	1 plan ; timbre humide de la Commission des arts et édifices religieux (30 mai 1850) ; timbre humide de l'approbation pour le ministre (27 juin 1850) par le directeur de l'administration des Cultes.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1655	CP/F/19/7787	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 7	Papier ; encre noire et rouge, lavis	35 cm x 24,5 cm	"Plan général de la cathédrale de Nîmes : état actuel".	Sans date	1851-01-01 / 1851-12-31	0,2 cm / 1 m	1 plan ; timbre humide de la Commission des arts et édifices religieux (30 mai 1850) ; timbre humide de l'approbation pour le ministre (7 juin 1850) par le directeur de l'administration des Cultes.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1656	CP/F/19/7787	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 8	Papier ; encre noire, lavis, aquarelle	37 cm x 22 cm	Plan général de la cathédrale. Par Eugène Jean-Baptiste Gabriel Laval, architecte diocésain.	25/07/1849	1849-07-25	0,2 cm / 1 m	1 plan ; signé.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1657	CP/F/19/7787	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 9	Papier ; encre noire et rouge, lavis, aquarelle, crayon	93 cm x 57 cm	"Cathédrale de Nîmes. Plan général". Par Antoine Henri Révoil, architecte diocésain.	22/07/1872	1872-07-22	0,5 cm / 1 m	1 plan ; signé ; approbation du préfet et l'évêque.		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
1658	F/19/7787	Nîmes : cathédrale Notre-Dame-et-Saint-Castor	Nîmes	43.838333333	4.360555555	Plan 10	Papier ; crayon, encre bleue	32,3 cm x 21,2 cm	"Cathédrale de Nîmes. Indications du Comité des inspecteurs généraux sur le projet de reconstruction des combles": démolition de l'ancienne couverture et de l'ancienne charpente. [Par Antoine Henry Révoil, architecte diocésain].	[1872]	1872-01-01 / 1872-12-31	0,5 cm / 1 m	3 coupes, 2 croquis ; indications en bleu des demandes de modifications dues au Comité des inspecteurs généraux ; "à me renvoyer intact".		http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=43.844938394	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cathedral%2C_Nimes.JPG	https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-et-Saint-Castor_de_N%C3%AEmes		
